,0
pocapavir,0.044130398670113764
fantofarone,-0.12499797018784747
nelotanserin,0.020488402137364393
temanogrel,0.01134748036908434
delcasertib,-0.019320032884327893
larazotide-acetate,-0.013409822491869656
Neu2000,0.005759254756684207
rislenemdaz,0.0385368609074067
voclosporin,0.09204791018164589
pridopidine,0.015014760619799788
letrazuril,0.05295479364804102
S-3304,0.006320740758277418
ningetinib-tosylate,0.09433144376315902
asimadoline,-0.009324904457593342
epristeride,-0.007971825201769993
AX-024,0.05395355981884097
tropifexor,-0.02035887676093189
PAT-1251,-0.01953447067453432
MK-4074,-0.010548887945949052
GSK656,0.003021904624171143
mirogabalin-besylate,-0.042991921349895185
SB-649868,0.03863595966980503
DG051,-0.04128508391602459
tomeglovir,0.01715062250967349
sultiame,-0.010378229290811041
gamithromycin,-0.020894063966892758
NGP555,-0.0005638612785068849
morphothiadin,-0.03014432458708146
apararenone,-0.0033796139621704658
padsevonil,0.06468581491854258
rosiptor,-0.048708717301718205
baloxavir-marboxil,-0.11081934149713035
baloxavir,-0.02956117739512118
mavacamten,0.02038097149276888
tapinarof,-0.04709940274720754
adavivint,-0.13529013694898837
delgocitinib,0.053130824568311495
lazertinib,0.033283218408072655
rovazolac,-0.012453348310937713
vecabrutinib,-0.021268178311042368
licogliflozin,0.05127747316531778
nemorexant,-0.07929665851769196
risdiplam,0.010165778858842118
farampator,-0.04533164040326147
ASTX660,0.050803330764175945
AZD1390,-0.07046524163243563
FLT3-IN-1,-0.08983891351938779
CA-4948,-0.005794994361296084
BMS-813160,-0.033185687885342215
fondaparinux,0.01942416551441883
diquafosol,0.010473129406674676
AZ7550,-0.00883386012529505
emamectin,0.028341584449037765
4-(aminomethyl)benzoic-acid,-0.07834890760860194
methylbenactyzium-bromide,0.030037576926806798
glycerol-phenylbutyrate,0.07024818237758919
lucanthone,-0.12003222514251884
bromisoval,0.048773450743866825
tauroglycocholate,-0.01782164437302884
apronal,-0.06055439224903997
hydroxocobalamin,-0.010355935326151212
uprifosbuvir,-0.02081445958681671
sofosbuvir-impurity-m,0.02236425198855646
AZD5153,-0.17332786915302864
cloperastine-fendizoate,0.04572973469593916
pirmenol,0.02714676365137124
acelarin,-0.10840614426185916
inarigivir,-0.07594760985722297
BAY-1251152,0.03491140578467115
methylcobalamin,-0.05359296791720379
polaprezinc,-0.02096240797913701
chlorphenoxamine,-0.03623843064644142
ACT-709478,0.00719607854712321
omadacycline,0.054187435394681835
encorafenib,-0.05957801018631113
HOKU-81,-0.014537911662928034
sodium-nitroprusside,-0.011780645426349358
imidurea,0.008384711034210929
HPPH,-0.028165933588328865
PF-06409577,-0.038149184412996515
atractylenolide-i,0.005482531107456596
ganoderic-acid-a,0.017089758245877443
NAS-181,-0.01783139923510932
SCH-221510,-0.026355669095863093
efonidipine,-0.12133930872025081
TCS-2002,-0.028295361967120243
NS-309,0.05705087652390141
ML213,0.004743559584192941
SSR180711,0.021646080620596815
atropine-oxide,0.014148337116745596
rosamicin,0.03446699604480089
crisdesalazine,0.04682469921019143
perfluorohexyloctane,0.018104761599292266
prisotinol,-0.013852007331559184
NS-11394,0.009912595847571485
irganox-1010,0.0028234493173838527
BMS-626531,0.011452633387230756
efletirizine,-0.004379310934837229
sameridine,-0.048805855079687814
SAM-315,0.017497951264048465
lodenosine,-0.046035379961378645
HBED,-0.047668282783986424
WAY-255348,-0.09562323906584816
MK-0608,-0.029170711331312375
convallatoxin,0.059992103176723766
pipotiazine,-0.047659993865929166
E-2001,-0.027738095110439176
deazaguanine,-0.025054078290432727
napamezole,0.052459003353416876
tetomilast,-0.06780139567680914
LY311727,0.025833598549301798
febuprol,0.0009343216185427817
florifenine,-0.05413444819502409
eniporide,0.003610807581767907
ICI-169369,0.02377939433375575
DSPC,-0.08997490027392974
fasoracetam,-0.007231954062660054
Ro-48-6791,0.02013955524679034
RG7834,-0.006741252179251346
aripiprazole-lauroxil,-0.05736159331356507
JNJ-54175446,0.018967189136808223
clamikalant,-0.0036175969368719574
vapendavir,0.017852981188784593
KAF-156,-0.017018316097338122
RV1729,0.032069589500454826
velaresol,-0.03454980209731336
pirozadil,0.021954674467696837
sufugolix,-0.045791937777517285
AC260584,0.051450861766731575
remetinostat,0.0161226604952957
soraprazan,-0.003511804643195808
BMS-986020,-0.025355809386176254
KR-33494,0.03826708422362852
centanafadine,-0.08622436564674012
gefapixant,0.013559249242829731
RG7800,-0.05811478087423916
BMS-986142,0.003973938971999243
PI3Kd-IN-2,0.058194448597575464
BW-348U87,-0.19434029604484773
parsaclisib,0.020039780562839164
cilofexor,0.02232207908872078
telratolimod,-0.03755117622723067
RGX-104,-0.045516308303743924
PF-06751979,0.01333782835206233
PRN1008,-0.037039048436912525
JNJ-678,-0.039201704979769776
HC-070,0.03623185622234578
thymalfasin,-0.06512199125319008
ABX-1431,0.043251121970890795
PRLX-93936,0.18013303751069987
AZD3839,-0.01800090719927053
monepantel,0.024375358676595873
sograzepide,-0.06508275668004562
elacytarabine,-0.05397767071222205
entasobulin,-0.07516506713018202
olumacostat-glasaretil,-0.08816858503957892
verdiperstat,-0.00429725340331955
GM-1485,-0.02583022499271985
GSK3117391,-0.16327570646086692
PBT-1033,0.06424428040108983
PRX-07034,-0.047898444059666985
imidazoacridinone,-0.12533269240137732
S-17092,-0.016406022045562997
centhaquin,-0.024241984115943273
ZD-0947,0.003499896880298873
MM-206,-0.016705635666606305
Ro-5263397,0.04534376008701505
CJ-13610,-0.08758422088631719
cipamfylline,-0.02079988564054376
CGP-39551,0.008697886591381838
tipelukast,-0.03445117763694792
pralmorelin,-0.005487580470203265
val-tyr,0.022309751585668815
T-1095,-0.03602675979465183
PF-02413873,-0.027350461504742043
PF-4191834,-0.13325116264631293
BMS-207940,-0.0483111263852826
PF-04995274,-0.012678620536205047
DpC,-0.17477404453346845
PF-06273340,0.00471668394376713
ormeloxifene,0.011382382209315858
NN-DNJ,-0.002146884071051791
PHA-543613,0.013707707746811503
PF-514273,0.009860998933109391
EF5,-0.025360030641808712
PF-06260414,-0.035932124963819125
rimeporide,-0.04977826488141651
aramchol,0.00894386022126009
NB-001,-0.0663753825306365
PF-06747775,0.04934886092009461
E3330,-0.0038728250305453643
SGS-742,-0.030348226541867595
talsaclidine,-0.05036479166802943
PF-06412562,0.018139437509767587
S15535,0.03204035124941798
"CP-105,696",0.009798206968573947
BMS-770767,-0.05375189618615162
denopamine,0.035294368551252654
motapizone,-0.07333902236704824
etrabamine,-0.020044252974006662
dapansutrile,-0.03660711074518011
MK-1903,0.017339538819168245
declopramide,0.04076207187653307
nemazoline,0.025700615890430392
tinazoline,-0.031739361563956715
NDD-094,-0.008532049912909047
SY-640,0.06569549173684665
triciribine-phosphate,0.05149662032389397
ciluprevir,0.03143931253336177
freselestat,-0.010041731728040794
cangrelor,-0.0690714636807233
naxagolide,-0.03088636095695838
panipenem,-0.0005102150049566184
brincidofovir,-0.017122352877801277
LP-533401,0.02493445906794492
