,mito_dir,ER_dir,lyso_dir,pathway
Idelalisib,0.07653033671181704,-0.03447642447778988,-0.12698113108954764,PI3K/MTOR signaling
Imatinib,-0.07626069856514626,0.10378780464161406,0.1901391757361597,"Other, kinases"
Ipatasertib,-0.034982582586727116,-0.04892038346571362,0.01794671673031929,PI3K/MTOR signaling
Irinotecan,-0.07019735568398731,0.10731890009025466,0.2686165418271681,DNA replication
Ispinesib Mesylate,-0.1320207160112903,0.06847706976445307,0.16440269671759455,Mitosis
JAK1_3715,0.14442314173697943,-0.09936253673813959,-0.21148003129285944,"Other, kinases"
JAK3_7406,0.13847344528143316,-0.12749610897259633,-0.15408042978450517,"Other, kinases"
JNJ38877605,0.253589617103983,-0.06762083658289754,-0.27251065379216793,RTK signaling
JNK Inhibitor VIII,0.11410651626750454,-0.12856789161283258,-0.19285483864346437,JNK and p38 signaling
JNK-9L,0.05611101917340199,-0.118224129467561,-0.20827153163949227,JNK and p38 signaling
JNK-IN-8,-0.030963373935133175,0.02938434055995492,0.17368432278365578,JNK and p38 signaling
JQ1,-0.028777751929774106,-0.05579023038542248,-0.027966577453791264,Chromatin other
JQ12,-0.02002440770179421,-0.04738418622083913,-0.06965684660599915,Chromatin histone acetylation
JW-7-24-1,0.05045097755375236,0.04825186874861537,0.06776475357638732,"Other, kinases"
JW-7-52-1,0.0028589681550828293,-0.07457575884584562,-0.25944553883696353,PI3K/MTOR signaling
KH-CB19,0.063393201290811,0.10334854245125082,0.08529066581857087,"Other, kinases"
KIN001-042,0.18120506210980905,-0.076876382122093,-0.2605323217759671,WNT signaling
KIN001-236,-0.011640770626412607,0.04022319519690633,0.03356935154606902,RTK signaling
KIN001-244,-0.026296928591830037,0.018844478254939637,0.002856618483037679,Metabolism
KIN001-260,-0.10181782060687686,0.051394780998074346,0.10312563961505573,"Other, kinases"
KIN001-266,0.025431628703832143,-0.04355300140112278,-0.06792913563429726,ERK MAPK signaling
KIN001-270,-0.008096186667420159,0.020732421907870266,-0.0005878343947840996,Cell cycle
KIT_5808,-0.1324884166680547,0.07628368994241345,0.1022708035063924,RTK signaling
KIT_6754,-0.06533048999892421,0.06712009881483977,0.13501332640864425,RTK signaling
KIT_7208,-0.15017787945920255,0.08221888858725461,0.17415757713477756,RTK signaling
KRAS (G12C) Inhibitor-12,-0.03875719442005658,0.10736025753585018,0.2832504145936982,ERK MAPK signaling
KRASi,-0.2623779265093727,0.01768459095211361,0.23921959720201721,ERK MAPK signaling
KU-55933,0.04082094995728722,-0.061651522337887024,-0.024386095897930216,Genome integrity
KU-60019,0.14041278264278453,-0.15037263802320983,-0.31218728892889147,Genome integrity
Kobe0065,-0.07370084919047759,0.03223302838613316,0.07940561851936995,ERK MAPK signaling
Kobe2602,0.16109581754263363,-0.043229084662753534,-0.11340558331680717,RTK signaling
LCL161,0.18285620697427807,-0.13590143309983943,-0.2819321815399243,Apoptosis regulation
LDN-193189,0.28610151116660826,-0.09756092236372688,-0.30487452757585926,Other
LFM-A13,0.23666244318263321,-0.14630746216291085,-0.28333451477674115,"Other, kinases"
LGK974,-0.029075213556368162,-0.009018175531635232,0.001363211221903302,WNT signaling
LIMK1 inhibitor BMS4,0.16818456285646952,-0.09021920029196817,-0.2005346243329321,Cytoskeleton
LJI308,-0.07116821000364908,0.011519446451105524,-0.014646782077980916,PI3K/MTOR signaling
LLY-283,0.014528483386841035,-0.014541670034625472,0.044744932559716684,Chromatin histone methylation
LLY-507,-0.10542311816612991,-0.05589906936843582,0.02986246528954636,Chromatin histone methylation
LTT462,-0.14297919777482127,0.04631156173528238,0.08656826508952674,ERK MAPK signaling
LY2109761,0.06467491659950418,-0.17334550759531117,-0.14197467889533874,Other
LY2584702,-0.022361857320009646,0.025205161734591874,0.041764511060990606,RTK signaling
Lapatinib,0.049156368953891395,0.028611755395317646,0.01140262138897959,RTK signaling
Lasalocid,0.2602327781111371,-0.12967282353068413,-0.2817093404070815,Other
Latamoxef,0.2653097932213792,-0.1574467726050867,-0.31722032766442804,Other
Leflunomide,0.09162032972392939,0.01771046727148571,0.026446200370695547,DNA replication
Lenalidomide,0.06904878673968527,-0.031977868513928205,-0.07555764985105252,Protein stability and degradation
Lestaurtinib,-0.07965159735027624,0.03843726405468033,0.03143703073832111,"Other, kinases"
Linifanib,0.2132263082354809,-0.09661392528010843,-0.22205410111287882,RTK signaling
Linsitinib,0.03749121135024707,0.019101417007238566,-0.026796683227670762,IGF1R signaling
Luminespib,0.006566620464484121,-0.12400285341261913,-0.05608303090359026,Protein stability and degradation
MCL1_1284,-0.18271661987976168,0.07676841132202968,0.18190309026142074,Apoptosis regulation
MCL1_8070,-0.22380981626924165,0.016694710023920683,0.17553800360239774,Apoptosis regulation
MCT1_6447,0.033827708258872484,-0.08092735612492316,-0.08485527522877331,Cell cycle
MCT4_1422,0.12272587457812069,-0.09146959562113782,-0.18455428160061804,Other
MG-132,0.060619588814943726,-0.17956964542873424,-0.266496295553304,Protein stability and degradation
MIK-665 / S-64315,-0.1792449777219283,0.04897311973185123,0.1797100293757678,Apoptosis regulation
