,dir,dep,lineage
ACH-000430,0.8741119848539157,-0.5444642293258118,Ovary/Fallopian Tube
ACH-001041,0.8597866692111016,-0.45001149976206245,Skin
ACH-001977,0.8689117957789582,-0.5818467273699612,Pleura
ACH-000370,0.849767328575491,-0.33847580768421653,CNS/Brain
ACH-001630,0.874704884248085,-0.38720582418682137,Ovary/Fallopian Tube
ACH-000437,0.8454305943620258,-0.3580187886375973,CNS/Brain
ACH-000498,0.8556737239166637,-0.3730581788899434,Myeloid
ACH-001392,0.8614084326677838,-0.3954993755827122,Breast
ACH-000503,0.859583909545335,-0.34346832710028957,Head and Neck
ACH-000403,0.8510639232802621,-0.3823001578566759,Bowel
ACH-000318,0.8671764115807785,-0.45812135264639553,Esophagus/Stomach
ACH-001430,0.8625060341402079,-0.4205886177001369,Bone
ACH-000928,0.8721578336479354,-0.4677285749344596,Uterus
ACH-000889,0.8947413684331448,-0.608990201720101,Lymphoid
ACH-000799,0.8355914147916629,-0.40505414789335775,Skin
ACH-001623,0.8386996639713651,-0.17866652968534572,CNS/Brain
ACH-000736,0.8675759673927304,-0.5123872357497408,Esophagus/Stomach
ACH-000876,0.851381873034785,-0.5070782063269568,Breast
ACH-001232,0.8290375067717334,-0.32509099598390256,CNS/Brain
ACH-001618,0.8982695749391565,-0.5138775535127437,Myeloid
ACH-002650,0.8462149541217024,-0.3219888459958989,Lung
ACH-000235,0.8493605537661507,-0.36973631565156956,Pancreas
ACH-000381,0.8685499043012044,-0.4344341862704591,Bowel
ACH-001993,0.8441107733178324,-0.4414531377509068,Lymphoid
ACH-001301,0.8672577037687561,-0.3898830157775798,Peripheral Nervous System
ACH-000187,0.8645239008448736,-0.5537897601631125,Lung
ACH-000569,0.8565522445118358,-0.4242866101315555,Pleura
ACH-000668,0.816718444663874,-0.30486591453833445,Breast
ACH-000924,0.8751722358615938,-0.6828640838943917,Lung
ACH-001450,0.8886199725175907,-0.5211321241475093,Lymphoid
ACH-000296,0.838272173778216,-0.3364315522338693,Bowel
ACH-000713,0.8389404018407817,-0.32174072568569345,Ovary/Fallopian Tube
ACH-001360,0.8702008576168898,-0.19131067315232936,Cervix
ACH-000273,0.8427636456313454,-0.3564887299024523,CNS/Brain
ACH-001715,0.8551037369924652,-0.39594663674842867,Bone
ACH-000639,0.8729528649689676,-0.6012576305179245,Lung
ACH-000094,0.8461142020277221,-0.4353241076921975,Pancreas
ACH-000361,0.8725843822327293,-0.349068947097559,Liver
